id,name,material,test,answer,,
1,Знаки и разметка на дороге,"Знаки и разметка на дороге помогают водителям и пешеходам ориентироваться в дорожной ситуации. Знаки могут быть предупреждающими, запрещающими или предписывающими. Разметка на дороге указывает, где можно двигаться, а где нельзя. Важно знать значения знаков и следовать им, чтобы обеспечить безопасность на дороге.",1. Какие виды знаков существуют? 2. Для чего нужна разметка на дороге? 3. Почему важно следовать дорожным знакам?,"a. Предупреждающие, запрещающие, предписывающие. b. Запрещающие, разрешающие c. Треугольные, квадратные, круглые",a. Чтобы понимать скоро ли полицейский участок b. Чтобы понимать где можно двигаться а где нет c. Чтобы ездить по ним,a. Чтобы обеспечить безопасность на дороге b. Потому что их нужно нарушать c. Чтобы ходить по серидине дороги не боясь
2,Пешеходные переходы и поведение на них,"Пешеходные переходы – это специальные места для безопасного перехода дороги. Пешеходы должны всегда переходить дорогу только по переходам и убедиться, что автомобили остановились. Водители обязаны уступать дорогу пешеходам на переходах. Важно быть внимательным и не отвлекаться на гаджеты при переходе чтобы не попасть в ДТП.","1. Где пешеходы должны переходить дорогу? 2. Что должны делать водители, когда видят пешехода на переходе? 3. Почему важно не отвлекаться при переходе?",a. Перед дорожным транспортом b. По пешеходному перекрёстку c. По пешеходным переходам,a. Прибавить скорость b. Уступить дорогу c. Ничего,a. Чтобы посидеть в телефоне b. Чтобы попасть в ДТП c. Чтобы не попасть в ДТП.
3,Правила проезда перекрестков,"Перекрестки – это места, где встречаются дороги. Важно знать правила проезда перекрестков, чтобы избежать аварий. При подъезде к перекрестку нужно снизить скорость и оценить ситуацию. Если есть светофор, следуйте его сигналам. Если светофора нет, уступайте дорогу тем, кто движется справа.","1. Что нужно делать при подъезде к перекрестку? 2. Как действовать, если на перекрестке есть светофор? 3. Кому нужно уступать дорогу на перекрестке без светофора?",a. Снизить скорость и оценить ситуацию b. Прибавить скорость c. Посмотреть на светофор,a. Ничего b. Следовать его сигналам c. Подождать когда все начнут ехать,"a. Никому b. Тем, кто движется слева c. Тем, кто движется справа"
4,Правила поворотов на дороге,"При выполнении поворотов важно заранее включить поворотник, чтобы предупредить других участников движения. Перед поворотом нужно убедиться, что нет препятствий и другие автомобили не мешают. Повороты следует выполнять плавно и осторожно, особенно на перекрестках и в местах с интенсивным движением.",1. Что нужно сделать перед поворотом? 2. Почему важно включать поворотник? 3. Как следует выполнять повороты?,"a. Смотреть в телефон b. Нужно убедиться, что нет препятствий и другие автомобили не мешают c. Заехать на тротуар",a. Чтобы предупредить других участников движения b. Чтобы похвастаться c. Что бы все тебя заметили,a.Плавно и осторожно b. Резко c. Незаметно
5,Правила обгонов,"Обгон – это маневр, при котором одно транспортное средство обходит другое. Обгон следует выполнять только на участках дороги, где это разрешено. Перед обгоном убедитесь, что у вас достаточно места и времени. Не забывайте проверять зеркала и мертвые зоны чтобы случайно не врезаться.",1. Где можно делать обгон? 2. Что нужно проверить перед обгоном? 3. Почему важно следить за мертвыми зонами?,a. Никогда b. Всегда c. Где это разрешено,"a. Достаточно ли места и времени, зеркала и мёртвые зоны b. Хватит ли бензина c. Пристёгнут ли ты",a. Чтобы видеть всё и всех b. Чтобы случайно не врезаться c. Чтобы видеть мёртвых
6,Правила остановки и стоянки,"Остановка и стоянка должны осуществляться в разрешенных местах. Не оставляйте автомобиль на пешеходных переходах, остановках общественного транспорта и в местах, где это запрещено. При остановке обязательно включайте аварийную сигнализацию. Если вы не будете соблюдать правила стоянки то вы можете помешать другим.",1. Где можно оставлять автомобиль? 2. Что нужно делать при остановке? 3. Почему важно соблюдать правила стоянки?,a. В разрешённых местах b. Только на тротуаре c. Только на газоне,a. Включать аварийную сигнализацию b. Выключить машину c. Ничего,a. Чтобы не мешать другим b. Чтобы перекрывать все пути c. Чтобы все смотрели на тебя пока ты паркуешься
7,Правила движения по велосипедной дорожке,"Велосипедные дорожки предназначены для безопасного передвижения велосипедистов. На таких дорожках важно соблюдать скорость и быть внимательным к пешеходам. Если дорожка пересекает проезжую часть, необходимо остановиться и убедиться в безопасности перед продолжением движения.",1. Для чего предназначены велосипедные дорожки? 2. Как вести себя на велосипедной дорожке? 3. Что делать при пересечении проезжей части?,"a. Для обеспечения безопасности велосипедистов
b. Для парковки автомобилей
c. Для пешеходов","a. Соблюдать правила дорожного движения 
b. Игнорировать других велосипедистов
c. Ездить на максимальной скорости
","a. Убедиться в безопасности и пропустить автомобили 
b. Пересекать на красный свет
c. Игнорировать светофоры
"
8,Правила вождения на велосипеде,"При вождении на велосипеде важно носить защитный шлем и следить за состоянием велосипеда. Велосипедисты должны соблюдать правила дорожного движения, как и автомобилисты. Необходимо быть внимательным к окружающим и сигнализировать о своих намерениях, например при повороте нужно поднимать руку в нужном направлении.",1. Почему важно носить шлем при езде на велосипеде? 2. Какие правила должны соблюдать велосипедисты? 3. Как сигнализировать о своих намерениях?,"a. Для защиты головы при падении
b. Чтобы выглядеть модно
c. Чтобы не запотевали очки
","a. Следить за дорожными знаками
b. Игнорировать правила
c. Ездить по тротуарам","a. Поднимать руку в нужном направлении 
b. Кричать на других участников движения
c. Просто поворачивать без предупреждения
"
9,Правила движения по пешеходным зонам,"Пешеходные зоны предназначены для безопасного передвижения людей. В этих зонах запрещено движение автомобилей. Пешеходы могут свободно передвигаться, но должны быть внимательны к другим людям и соблюдать порядок.",1. Для чего предназначены пешеходные зоны? 2. Можно ли ездить на автомобиле в пешеходной зоне? 3. Как вести себя в пешеходной зоне?,"a. Для безопасного передвижения пешеходов
b. Для парковки автомобилей
c. Для велосипедистов","a. Нет, это запрещено 
b. Да, если нет пешеходов
c. Да, в любое время","a. Быть внимательным и уважать других 
b. Игнорировать пешеходов
c. Говорить громко по телефону"
10,Правила вождения на самокате,"При вождении на самокате важно соблюдать правила дорожного движения. Используйте защитные средства, такие как шлем. Двигайтесь по велосипедным дорожкам или пешеходным зонам, избегая проезжей части. Будьте внимательны к пешеходам и другим участникам движения.",1. Какие защитные средства нужно использовать при езде на самокате? 2. Где можно ездить на самокате? 3. Почему важно быть внимательным на дороге?,"a. Шлем и защитные наколенники 
b. Только стильную одежду
c. Очки для солнца","a. На велосипедных дорожках и в парках 
b. На тротуарах и в пешеходных зонах
c. На проезжей части без ограничений
","a. Чтобы избежать аварий 
b. Чтобы быстрее доехать до места
c. Чтобы не скучать"
